i: 990277 -> +00d 03:06:31.50 pm - 0x5895B9AF
0x5895B9AF
0x46008C4F
Copy Prot Place: 4
PreLevel00: 0x46008c4f <<<--- Press enter here
PreLevel01: 0xf856f5d6
PreLevel02: 0x11f09541
Level 1, Step 0001/0244: - RNG: 0x11f09541, IGT: 60:719, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0002/0244: - RNG: 0x513b35c3, IGT: 60:718, Loose: 0, Move: '......S', Room: 1
Level 1, Step 0003/0244: - RNG: 0xae07aa55, IGT: 60:717, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0004/0244: - RNG: 0x224b1377, IGT: 60:716, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0005/0244: - RNG: 0x8ad795a9, IGT: 60:715, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0006/0244: - RNG: 0x77e4796b, IGT: 60:714, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0007/0244: - RNG: 0x4ed74b3d, IGT: 60:713, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0008/0244: - RNG: 0xaf55fb9f, IGT: 60:712, Loose: 0, Move: 'CA.....', Room: 1
Level 1, Step 0009/0244: - RNG: 0xdde9ff11, IGT: 60:713, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0010/0244: - RNG: 0x48bc6e13, IGT: 60:712, Loose: 0, Move: '......S', Room: 1
Level 1, Step 0011/0244: - RNG: 0x1f332525, IGT: 60:711, Loose: 0, Move: '......S', Room: 1
Level 1, Step 0012/0244: - RNG: 0xfb76e4c7, IGT: 60:710, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0013/0244: - RNG: 0xd52a7179, IGT: 60:709, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0014/0244: - RNG: 0x6edab3bb, IGT: 60:708, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0015/0244: - RNG: 0x3befd80d, IGT: 60:707, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0016/0244: - RNG: 0xeb276eef, IGT: 60:706, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0017/0244: - RNG: 0x61df8ce1, IGT: 60:705, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0018/0244: - RNG: 0x96baea63, IGT: 60:704, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0019/0244: - RNG: 0x6e6603f5, IGT: 60:703, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0020/0244: - RNG: 0x13853a17, IGT: 60:702, Loose: 0, Move: '...R.D.', Room: 1
Level 1, Step 0021/0244: - RNG: 0x4b13f149, IGT: 60:701, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0022/0244: - RNG: 0x90bcb20b, IGT: 60:700, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0023/0244: - RNG: 0x62f248dd, IGT: 60:699, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0024/0244: - RNG: 0xa4d1e63f, IGT: 60:698, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0025/0244: - RNG: 0x6c163eb1, IGT: 60:697, Loose: 0, Move: '...R.D.', Room: 1
Level 1, Step 0026/0244: - RNG: 0x83a3aab3, IGT: 60:696, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0027/0244: - RNG: 0x6f7546c5, IGT: 60:695, Loose: 0, Move: '.......', Room: 1
